SITE_NAME,DESCRIPTION,STATION_NAME,TRAMP_FARM_NAME,DATE_COLLECTED,LABORATORY_SAMPLE_NUMBER,AG-110M,AM-241,AM-241_chem,C-14,C-14_N,CE-144,CM-242,CM-243+244,CO-57,CO-58,CO-60,CR-51,CS-134,CS-137,CS-137+CS-134,EU-154,EU-155,H-3,I-125,I-129,I-131,K-40,MN-54,NB-95,NP-237,OBT,P-32,PB-210,PM-147,PO-210,PU-238,PU-239+240,PU-241,RA-226,RU-103,RU-106,S-35,SB-124,SB-125,SE-75,SR-90,TC-99,TH-228,TH-230,TH-232,TOTAL BETA,U-234,U-235,U-238,ZN-65,ZR-95
Aldermaston,POT - Potato,N/A,CROP,2016-08-10,201630719,<0.083,<0.12,0.000099?0.000041,N/A,N/A,<0.51,N/A,N/A,N/A,N/A,<0.089,N/A,<0.093,<0.07,N/A,<0.15,<0.15,<2.2,N/A,N/A,N/A,99?8.7,N/A,<0.068,N/A,N/A,N/A,N/A,N/A,N/A,<0.00013,0.00013?0.0001,N/A,N/A,<0.079,<0.51,N/A,N/A,<0.16,<0.055,N/A,N/A,N/A,N/A,N/A,N/A,0.012?0.002,<0.00024,0.011?0.002,N/A,<0.13
Aldermaston,UMK-Unpasteurised Milk,N/A,AD11,2016-02-15,201628166,<0.078,<0.12,N/A,N/A,N/A,<0.23,N/A,N/A,N/A,N/A,<0.078,N/A,<0.087,<0.087,N/A,<0.24,<0.18,N/A,N/A,N/A,N/A,49?4.5,N/A,<0.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.16,<0.66,N/A,N/A,<0.14,<0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.2
Aldermaston,UMK-Unpasteurised Milk,N/A,AD11,2016-02-15,201628167,N/A,N/A,0.000011?0.0000098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11?5.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.000013,<0.000018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldermaston,UMK-Unpasteurised Milk,N/A,AD12,2016-02-15,201628168,<0.13,<0.12,N/A,N/A,N/A,<0.18,N/A,N/A,N/A,N/A,<0.071,N/A,<0.058,0.081?0.038,N/A,<0.14,<0.13,N/A,N/A,N/A,N/A,45?5.2,N/A,<0.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.11,<0.53,N/A,N/A,<0.091,<0.081,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.22
Aldermaston,UMK-Unpasteurised Milk,N/A,AD12,2016-02-15,201628169,N/A,N/A,<0.000035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.000013,<0.000018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldermaston,UMK-Unpasteurised Milk,N/A,AD11,2016-05-15,201629798,<0.08,<0.08,N/A,N/A,N/A,<0.28,N/A,N/A,N/A,N/A,<0.047,N/A,<0.041,<0.045,N/A,<0.18,<0.11,N/A,N/A,N/A,N/A,44?3.8,N/A,<0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.1,<0.43,N/A,N/A,<0.071,<0.072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.13
Aldermaston,UMK-Unpasteurised Milk,N/A,AD11,2016-05-15,201629799,N/A,N/A,0.000035?0.000025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<2.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.000039,<0.000014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldermaston,UMK-Unpasteurised Milk,N/A,AD12,2016-05-15,201629801,<0.12,<0.13,N/A,N/A,N/A,<0.23,N/A,N/A,N/A,N/A,<0.03,N/A,<0.041,<0.073,N/A,<0.18,<0.21,N/A,N/A,N/A,N/A,52?4.8,N/A,<0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.1,<0.38,N/A,N/A,<0.085,<0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.2
Aldermaston,UMK-Unpasteurised Milk,N/A,AD12,2016-05-15,201629802,N/A,N/A,<0.000031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<2.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.000024,<0.000024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldermaston,UMK-Unpasteurised Milk,N/A,AD11,2016-07-01,201634063,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<0.00038,<0.00038,<0.00027,N/A,N/A
