SITE_NAME,DESCRIPTION,TRAMP_FARM_NAME,DESCRIPTION2,DATE_COLLECTED,LABORATORY_SAMPLE_NUMBER,AG-110M,AM-241,AM-241_chem,C-14,CM-242,CM-243+244,CO-57,CO-58,CO-60,CR-51,CS-134,CS-137,EU-154,EU-155,I-131,K-40,MN-54,NB-95,PU-238,PU-239+240,RU-103,RU-106,SB-124,SB-125,SE-75,ZN-65,ZR-95,C-143,C-14_N,H-3,OBT,PU-241,TC-99,TOTAL_BETA,I-129,SR-90,PO-210,PB-210,NP-237,NP-239,PM-147,TH-228,TH-230,TH-232,U-234,U-235,U-238,CS-137+CS-134,S-35,I-125,P-32
Aldermaston,,AD11,UMK-Unpasteurised Milk,2018-04-03,2018218667,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,2018-07-25,2018225530,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,2018-09-20,2018227741,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,2018-04-03,2018218669,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,2018-06-21,2018223897,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,2018-09-20,2018227744,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,CROP,POT - Potato,2018-07-31,2018225719,<0.14,NA,TBA,<0.48,NA,NA,NA,NA,<0.072,NA,<0.065,<0.058,<0.22,<0.15,NA,98?7,NA,<0.08,TBA,TBA,<0.062,<0.52,NA,<0.12,<0.067,NA,<0.13,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,NA,NA,NA,NA
Aldermaston,,CROP,WHT - Wheat,2018-10-02,2018227979,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,TBA,TBA,NA,NA,NA,NA
Amersham,,AM07,UMK-Unpasteurised Milk,2018-01-24,2018216359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amersham,,AM07,UMK-Unpasteurised Milk,2018-02-21,2018216717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amersham,,AM07,UMK-Unpasteurised Milk,2018-03-21,2018218376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amersham,,AM07,UMK-Unpasteurised Milk,2018-04-03,2018218671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.1,<0.008,NA
Amersham,,AM07,UMK-Unpasteurised Milk,2018-04-18,2018222255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amersham,,AM07,UMK-Unpasteurised Milk,2018-05-16,2018223033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amersham,,AM07,UMK-Unpasteurised Milk,2018-06-13,2018223670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amersham,,AM07,UMK-Unpasteurised Milk,2018-06-28,2018223992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,<0.004,NA
Amersham,,AM07,UMK-Unpasteurised Milk,2018-09-05,2018227435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amersham,,CROP,BAR - Barley,2018-10-20,2018227981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA
